report_month	billing_year	billing_month	billing_cycle	billing_day	billing_amount
9/1/2023	2023	9	2	2	207354305.7
9/1/2023	2023	9	3	3	209699145.9
9/1/2023	2023	9	4	4	210075888.4
9/1/2023	2023	9	5	5	64447891.21
9/1/2023	2023	9	6	6	223318516.2
9/1/2023	2023	9	7	7	212164917.1
9/1/2023	2023	9	8	8	161118049.3
9/1/2023	2023	9	9	9	214765233.7
9/1/2023	2023	9	10	10	260804288.2
9/1/2023	2023	9	11	11	64012382.44
9/1/2023	2023	9	12	12	236795369.6
9/1/2023	2023	9	13	13	215110738.1
9/1/2023	2023	9	14	14	68571873.48
9/1/2023	2023	9	15	15	243647148.1
9/1/2023	2023	9	16	16	218743381.7
9/1/2023	2023	9	17	17	66469773.12
9/1/2023	2023	9	18	18	235020210.2
9/1/2023	2023	9	19	19	214734923.5
9/1/2023	2023	9	20	20	221910702.8
9/1/2023	2023	9	21	21	217604970.7
9/1/2023	2023	9	22	22	215761537.4
9/1/2023	2023	9	23	23	323722149.1
9/1/2023	2023	9	24	24	65900228.22
9/1/2023	2023	9	25	25	246946689.1
10/1/2023	2023	9	26	26	217652424.4
10/1/2023	2023	9	27	27	69975107.72
10/1/2023	2023	9	28	28	258032043.8
10/1/2023	2023	9	29	29	60522500.69
10/1/2023	2023	9	30	30	58830378.39
10/1/2023	2023	9	31	30	34544261.56
10/1/2023	2023	10	1	1	328445436.3
10/1/2023	2023	10	2	2	206839459.2
10/1/2023	2023	10	3	3	209204416.1
10/1/2023	2023	10	4	4	208970693.9
10/1/2023	2023	10	5	5	64902102.54
10/1/2023	2023	10	6	6	222967331.6
10/1/2023	2023	10	7	7	210571563.7
10/1/2023	2023	10	8	8	160603023.7
10/1/2023	2023	10	9	9	214624390.4
10/1/2023	2023	10	10	10	261913641.4
10/1/2023	2023	10	11	11	64225422.98
10/1/2023	2023	10	12	12	236719787.3
10/1/2023	2023	10	13	13	215074866.9
10/1/2023	2023	10	14	14	68752946.11
10/1/2023	2023	10	15	15	242861419.8
10/1/2023	2023	10	16	16	218175765
10/1/2023	2023	10	17	17	66988547.76
10/1/2023	2023	10	18	18	234521521.3
10/1/2023	2023	10	19	19	214319007.9
10/1/2023	2023	10	20	20	221311690.9
10/1/2023	2023	10	21	21	215590226
10/1/2023	2023	10	22	22	214407622.5
10/1/2023	2023	10	23	23	320057076.1
10/1/2023	2023	10	24	24	65665640.09
10/1/2023	2023	10	25	25	244642825.3
11/1/2023	2023	10	26	26	215007409.9
11/1/2023	2023	10	27	27	70076749.63
11/1/2023	2023	10	28	28	258901148.1
11/1/2023	2023	10	29	29	61030378.89
11/1/2023	2023	10	30	30	59397068.68
11/1/2023	2023	10	31	31	35144924.06
11/1/2023	2023	11	1	1	325842905.1
11/1/2023	2023	11	2	2	207017669.9
